"screen_name","text","stripped_text1"
"spottedpelican","Italian Dentist tries to dodge Covid vaccine wearing a fake arm
Reports state he has been suspended from the Order of Doctors although it was not clear if that was because of his anti vaxx stance on vaccines or attempt to get a Green Pass illegally
https://t.co/7a9eNYZ6Xs","italian dentist tries to dodge covid vaccine wearing a fake armreports state he has been suspended from the order of doctors although it was not clear if that was because of his anti vaxx stance on vaccines or attempt to get a green pass illegally"
"HealthcareGlob1","How anti-vaccine activists and the GOP are growing closer - NPR https://t.co/7BH8mBruAD via @GoogleNews","how antivaccine activists and the gop are growing closer  npr  "
"HealthcareGlob1","Whatâ€™s Really Behind Global Vaccine Hesitancy - The Atlantic https://t.co/vNBqF4ZBVu via @HealthcareGlob1","whatâ€™s really behind global vaccine hesitancy  the atlantic  "
"AndreasLupus","@mblair @Regan_Smart @longhorncraiger @JonathanTurley And it is literally killing them.

All because they want to lie to themselves that it's about freedom. 

https://t.co/KXfLcJiM8v","    and it is literally killing themall because they want to lie to themselves that it about freedom "
"adirtyhippie","An Angry Mob of Anti-Vaccine Extremists Swarmed a Childrenâ€™s Toy Store in the West EdmontonÂ Mall https://t.co/A1zy8Ntrb8","an angry mob of antivaccine extremists swarmed a childrenâ€™s toy store in the west edmontonâ mall "
"aclark3012","Vaccine hesitant man changed his mind over the Covid-19 vaccines when he ended up in hospital, his anti-vax wife lost the battle with the virus #NewsBreak https://t.co/LCwLEmpe0W","vaccine hesitant man changed his mind over the covid vaccines when he ended up in hospital his antivax wife lost the battle with the virus newsbreak "
"GabrielaWomenPL","She iterated that the country should focus more on vaccine information drive and community-based COVID preventive strategies than imposing anti-poor and anti-workers policies. 

Junk IATF Resolution 148-B!","she iterated that the country should focus more on vaccine information drive and communitybased covid preventive strategies than imposing antipoor and antiworkers policies junk iatf resolution b"
"Rugbyulster2016","A work college had 3rd jab on Friday evening and spent until 6am Monday sick in bed, High fever. Says sheâ€™s not getting anymore and now anti vaccine anti Covid restrictions. Awakening has begun","a work college had rd jab on friday evening and spent until am monday sick in bed high fever says sheâ€™s not getting anymore and now anti vaccine anti covid restrictions awakening has begun"
"sarimmy","@officialeeLeoJ @jneill @DrAseemMalhotra Don't pretend you don't know what he is implying. He has been doing this for weeks now - sowing doubt and uncertainty and promoting the anti-vaccine agenda.","   dont pretend you dont know what he is implying he has been doing this for weeks now  sowing doubt and uncertainty and promoting the antivaccine agenda"
"Sarartist1","@piersmorgan Anti-vaccine stories are often spread online through social media.
They aren't usually based on scientific evidence and put every one at risk of covid19."," antivaccine stories are often spread online through social mediathey arent usually based on scientific evidence and put every one at risk of covid"
"apimpnamedmimi","ion want to get the vaccine but some of yâ€™all anti vaxxers be sounding crazy on here <U+0001F62D>","ion want to get the vaccine but some of yâ€™all anti vaxxers be sounding crazy on here ufd"
"marie745640","@casey_vand @NelleNelly The donor does too. Not wanting/needing vaccine is not anti-vaccine. Hospitals preferring the patient die instead of risking the rare chance the person might die from Covid is reprehensible.","  the donor does too not wantingneeding vaccine is not antivaccine hospitals preferring the patient die instead of risking the rare chance the person might die from covid is reprehensible"
"0604av","there is a lot of trouble for the anti-rabies vaccine. 
please tell me something that to do further.
@mybmcHealthDept @nhm_up","there is a lot of trouble for the antirabies vaccine please tell me something that to do further "
"shoe_jimmy1","@JacindaTrump Totally agree. A significant percentage of the anti vaxxers  arenâ€™t actually particularly opposed to the vaccine. They are just predisposed to objecting to instructions"," totally agree a significant percentage of the anti vaxxers  arenâ€™t actually particularly opposed to the vaccine they are just predisposed to objecting to instructions"
"randman_0514","Anti-Vaccine Doctor Who Called Mask Wearing 'Dangerous' Dies of COVID-19 https://t.co/1qYtLcIAsX","antivaccine doctor who called mask wearing dangerous dies of covid "
"CANUSA34732745","@CNN I am developing a way to give the vaccine via tranquilizer gun. This will allow anti-vaxers plausible non-compliance while still contributing to herd immunity. It's brilliant."," i am developing a way to give the vaccine via tranquilizer gun this will allow antivaxers plausible noncompliance while still contributing to herd immunity it brilliant"
"neilmaccs","@LozzaFox One thing that confuses me about Anti Vaxx, Anti Mask, Anti lockdown people is that they don't seem to have actual solution to the problem..

If you don't wanna wear a mask, don't want the vaccine and don't want to stay home how are you going to stop the virus spreading?"," one thing that confuses me about anti vaxx anti mask anti lockdown people is that they dont seem to have actual solution to the problemif you dont wanna wear a mask dont want the vaccine and dont want to stay home how are you going to stop the virus spreading"
"JanMasabada","@CyrilRamaphosa Can the president stop this thing of vaccine it is killing our families.
#anti-vaccination"," can the president stop this thing of vaccine it is killing our familiesantivaccination"
"happyhexer","@TheSkylineTrail @wsbgnl Exactly.  Even Trump was counting on vaccines to solve everything.  He only became anti-vaccine because they were not ready when he wanted them -- in October before the November 2020 election.","  exactly  even trump was counting on vaccines to solve everything  he only became antivaccine because they were not ready when he wanted them  in october before the november  election"
"fereshtehjahan1","@jenbrea Can't agree more! We need to identify the predisposed people to both COVID as well COVID vaccine! We can't ignore those, whose symptoms worsen after infection or environmental stressor! This is a valid concern and has nothing to do with ""Anti-vaccination"" mentality!"," cant agree more we need to identify the predisposed people to both covid as well covid vaccine we cant ignore those whose symptoms worsen after infection or environmental stressor this is a valid concern and has nothing to do with antivaccination mentality"
"graceblue","@mrlindan You sound medicated or intoxicated. 
A cat fighting her way out of a paper bag. 
You aren't making sense. 
Do you even know the thread you are commenting on? 
Everyone thinks anti vaxers should pay for their own medical. 
Do you disagree? 
$19.00 vaccine &amp; you can get it for free"," you sound medicated or intoxicated a cat fighting her way out of a paper bag you arent making sense do you even know the thread you are commenting on everyone thinks anti vaxers should pay for their own medical do you disagree  vaccine  you can get it for free"
"WaRDaNYo","An Angry Mob of Anti-Vaccine Extremists Swarmed a Childrenâ€™s Toy Store in the West EdmontonÂ Mall (https://t.co/ucNSJD6dBi)","an angry mob of antivaccine extremists swarmed a childrenâ€™s toy store in the west edmontonâ mall "
"HappilyH","Vaccine hesitant man changed his mind over the #Covid19vaccines when he ended up in hospital, his anti-vax wife lost the battle with the virus #NewsBreak #AntiVaxxers  https://t.co/1c4C9Hggth","vaccine hesitant man changed his mind over the covidvaccines when he ended up in hospital his antivax wife lost the battle with the virus newsbreak antivaxxers  "
"HighlightBias","@merogenomics Your YouTube video is being used by anti-vaxxers. You need to make clear that getting the vaccine is safer than getting COVID. This scientist reviews the paper in detail and explains what you are missing:

https://t.co/R1s6Zrr3cU"," your youtube video is being used by antivaxxers you need to make clear that getting the vaccine is safer than getting covid this scientist reviews the paper in detail and explains what you are missing"
"DrOnDFS","You can thank the anti vaxxers for this rule. Now the people that actually canâ€™t get the vaccine for MEDICAL REASONS will suffer cause the conspiracy theorist <U+0001F595><U+0001F3FC> https://t.co/Uqfk8sf3Uy","you can thank the anti vaxxers for this rule now the people that actually canâ€™t get the vaccine for medical reasons will suffer cause the conspiracy theorist ufuffc "
"allys_mchs","Anti-vaccine mandate protestors came to Healdsburg City Hall during a meeting tonight that was later made virtual to avoid the protestors. Protestors held signs outside the building and along the street saying things like ""End Segregation Now"". #mchslang23 https://t.co/1oSX1Aa0c9","antivaccine mandate protestors came to healdsburg city hall during a meeting tonight that was later made virtual to avoid the protestors protestors held signs outside the building and along the street saying things like end segregation now mchslang "
"BetckeTimo","@jill4010 @CardiffW_Green @callumjodwyer Certainly we should not ignore side effects. But given the risk of side effects from vaccines is extremely low (and much lower than that of side effects from COVID) discussions that only focus on vaccine side effects are easily misleading and used for anti-vaxx propaganda.","   certainly we should not ignore side effects but given the risk of side effects from vaccines is extremely low and much lower than that of side effects from covid discussions that only focus on vaccine side effects are easily misleading and used for antivaxx propaganda"
"centristjim1","@sunrayta @PrisonPlanet The vaccine works perfectly. Thatâ€™s exactly why the vast majority of people in hospital are unvaccinated and you are so quick to try and make your stupid anti vaxx point that you didnâ€™t even realise thatâ€™s what Iâ€™m saying. Vaccines do work. Thatâ€™s exactly why everyone needs one","  the vaccine works perfectly thatâ€™s exactly why the vast majority of people in hospital are unvaccinated and you are so quick to try and make your stupid anti vaxx point that you didnâ€™t even realise thatâ€™s what iâ€™m saying vaccines do work thatâ€™s exactly why everyone needs one"
"WedsonNyirenda","AGONY IS: 
A woman at Anti natal clinic taking neccessary treatments and hearing her saying "" Me I cant take COVID19 vaccine because these Europeans want to kill us all. ""","agony is a woman at anti natal clinic taking neccessary treatments and hearing her saying  me i cant take covid vaccine because these europeans want to kill us all "
"gaybunnypup","@joseph24677671 @0dvimes @ruudje1976 @ReutersFacts Do you know how insane it is to believe unproven conspiracy bullshit versus actual facts where billions of people have had their lives saved by the vaccine? Believing imaginary lies and fabricated nonsense like anti-vaxxers is what's insane by far. <U+0001F644><U+0001F921><U+0001F921> https://t.co/YK1DZ1g4c5","    do you know how insane it is to believe unproven conspiracy bullshit versus actual facts where billions of people have had their lives saved by the vaccine believing imaginary lies and fabricated nonsense like antivaxxers is what insane by far ufufuf "
"tPAs4AgCFyrCnj5","Dig one ditch...Dig two<U+0001F60F>
https://t.co/HXbMnsOYZq","dig one ditchdig twouff"
"vankitcher","@CNN Soon another wave will step in then we will be told to take anti retro viral med as final boost. Please come out with concrete decisions. The vaccine is failing letâ€™s look for alternative"," soon another wave will step in then we will be told to take anti retro viral med as final boost please come out with concrete decisions the vaccine is failing letâ€™s look for alternative"
"marcone_charles","@davidshallot @PeterHotez Not like this, don't care about anti vaccine IDIOTS. But you spread and infect and ultimately kill others. The things you mention can be fixed. Idiocy with vaccines are permanent for many.","  not like this dont care about anti vaccine idiots but you spread and infect and ultimately kill others the things you mention can be fixed idiocy with vaccines are permanent for many"
"MARIUS_DTOWN","How anti-vaccine activists and the GOP are growing closer 

https://t.co/N0XFVH1pia","how antivaccine activists and the gop are growing closer "
"GanniTonya","@AdorablePodcast @PoliticsPot @emsops @PaulStetson13 @JamesBondChick @Krispi_Largo @JGainsbourgh @KingCujo @TheLivingKira @VinceGottalotta @mathmomma24 @JenCages @medwoman1 @Badams820 @EBatterson @ToothAngry @radicalcentrst @mi_sfrom @Traveler3906 @LustfulLiberal @The_Real_BiM @A_Damned_smith @ahrehead @NoScienceDenial @gio56 @JeffreySHarper1 @CentristSloth @_Kel_Varnsen_ @RickySi16087724 @RobfromMO @Darkamedes @HeliaTropist @SteveRo09236504 @SapienWoman @chibistevie1979 @LMegaw @Aimhighffw @1Quetzalcoatl1 @Brian_Alford @chronic_chels @alkivari @QuidRises @Jesus_is_G_d @PickleMrs @Scarlet_lauco @vixmcintyre @pro13A @aquariangoat79 @Omerta_Kittie @heather_leisure No, the anti-vaxxers are the reason the pandemic isnâ€™t over. If they would just vaccine, weâ€™d all be safe.","                                                  no the antivaxxers are the reason the pandemic isnâ€™t over if they would just vaccine weâ€™d all be safe"
"JeanBrokenberry","@Joseph4foster @KKnoerr @JudgeClayJ When you are in the hospital on a ventilator it will be too late to change your  mind about the vaccine. There are records of staunch anti vaccine groups that made the Wish on their death beds. Too little too late<U+0001F5A4>","   when you are in the hospital on a ventilator it will be too late to change your  mind about the vaccine there are records of staunch anti vaccine groups that made the wish on their death beds too little too lateufa"
"MissPenisione","@Maveric55602697 @nzherald Totally agree, we put them into power. I'm not anti or pro-vax but I am anti mandate regarding vaccine passes, that expires in 6 months then another jab to extend it? Not keen on that.","  totally agree we put them into power im not anti or provax but i am anti mandate regarding vaccine passes that expires in  months then another jab to extend it not keen on that"
"MelissaWatsonUK","@baheed75 @JoshBoswell @garysmith2301 @mrmarkdolan There's this as well - it's quite clear - vaccines work. 

I've save the Jpeg of the ""Vaccine Paradox"" for future use, very handy, however for some people being anti vaxxer is like joining a cult and nothing will sway them. https://t.co/y0mkjB2LNC","    there this as well  it quite clear  vaccines work ive save the jpeg of the vaccine paradox for future use very handy however for some people being anti vaxxer is like joining a cult and nothing will sway them "
"lifeafterkey","https://t.co/aNll89kwrT anti vaxx propaganda. 'Crying kids'"," anti vaxx propaganda crying kids"
"JackieJHello1","@CAgovernor @GavinNewsom I have had vaccine 1 &amp; 2 &amp; booster. My anti vax neighbor was showing off the fake vaccine card he bought while in Mexico. WTF? @POTUS @PressSec @GavinNewsom @DatelineNBC @maddow @allinwithchris #California 
#COVID19","  i have had vaccine     booster my anti vax neighbor was showing off the fake vaccine card he bought while in mexico wtf       california covid"
"wingnut00555","@CautiousLefty My own anti vax brother had a case of Hep B so bad he was ambulanced 50 miles to another hospital nearly airlifted to another and spent 5 days in a hospital. I asked if you could go back would you get the hep vaccine he said no that's poison."," my own anti vax brother had a case of hep b so bad he was ambulanced  miles to another hospital nearly airlifted to another and spent  days in a hospital i asked if you could go back would you get the hep vaccine he said no that poison"
"TheFrankinn","No Covid vaccine has undergone the usual time frames, Phase I - Phase IV, independent testing protocols, violating the Nuremberg Code of 1947.

No â€˜Novelâ€™ Covid Vaccine has been proven to be Independently Studied &amp;  identified as 1. Safe &amp; 2. Effective. https://t.co/PLBlvd7VfX","no covid vaccine has undergone the usual time frames phase i  phase iv independent testing protocols violating the nuremberg code of no â€˜novelâ€™ covid vaccine has been proven to be independently studied   identified as  safe   effective "
"TheFrankinn","Nuremberg Code Article 6, section 3: 
â€œIn no case should a collective community agreement or the consent of a community leader or other authority substitute for an individualâ€™s informed consent.â€ https://t.co/PLBlvd7VfX","nuremberg code article  section  â€œin no case should a collective community agreement or the consent of a community leader or other authority substitute for an individualâ€™s informed consentâ€ "
"DarbyLord","@Caroljo39679012 @SlyingForcer @steve8412 @Gods_Spy And a decrease in hospital admissions, people with severe symptoms. Itâ€™s not difficult to see that a reduction in deaths and severe infections shows the vaccine works - just doesnâ€™t fit the anti vax narrative though does it?","    and a decrease in hospital admissions people with severe symptoms itâ€™s not difficult to see that a reduction in deaths and severe infections shows the vaccine works  just doesnâ€™t fit the anti vax narrative though does it"
"sborsch","Anti-vaxxers and @GOP deserve each other. Hereâ€™s hoping Darwin was 100% correct and both will become extinct, the dumbfucks.

https://t.co/p9F9mBksQk","antivaxxers and  deserve each other hereâ€™s hoping darwin was  correct and both will become extinct the dumbfucks"
"0xcase","Update: the algorithm decided that all my feed has to be anti-vaccine and anti-lockdown content from boomer meme pages and far right politicians, surprisingly from Austria and Switzerland, not Germany https://t.co/AQyRJOU1mi","update the algorithm decided that all my feed has to be antivaccine and antilockdown content from boomer meme pages and far right politicians surprisingly from austria and switzerland not germany "
"tazalot1981","Okay so if I am an anti vaxer for not taking the COVID vaccine. ( one vaccine). Does that make everyone who didnâ€™t take the flu vaccine an anti vaxer. They say they donâ€™t need it or want it. So whatâ€™s the diff.","okay so if i am an anti vaxer for not taking the covid vaccine  one vaccine does that make everyone who didnâ€™t take the flu vaccine an anti vaxer they say they donâ€™t need it or want it so whatâ€™s the diff"
"tazalot1981","@JamesDeegan1979 @johnsbury66 @Glenn31391040 He didnâ€™t take one vaccine. He is an anti vaxer.","   he didnâ€™t take one vaccine he is an anti vaxer"
"Longbowgun","@MAGMAUS Block the anti-vaccine morons and send them back to their echo chamber."," block the antivaccine morons and send them back to their echo chamber"
"susanadair","@JimiLothian11 @NursepollyRgn And the fact that you are absolutely sure that my kids will die from the covid vaccine is disgusting.the vast difference between pro and anti vaccine stance is that not one single person that is pro vaccine would ever wish death on anyone. Yet the same cannot be said for anti vax","  and the fact that you are absolutely sure that my kids will die from the covid vaccine is disgustingthe vast difference between pro and anti vaccine stance is that not one single person that is pro vaccine would ever wish death on anyone yet the same cannot be said for anti vax"
