"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x307847195","x1468122317070864384",2021-12-07 07:36:51,"spottedpelican","Italian Dentist tries to dodge Covid vaccine wearing a fake arm
Reports state he has been suspended from the Order of Doctors although it was not clear if that was because of his anti vaxx stance on vaccines or attempt to get a Green Pass illegally
https://t.co/7a9eNYZ6Xs","Twitter for Android",272,,,,FALSE,FALSE,0,0,,,,,"theguardian.com/world/2021/dec…","https://t.co/7a9eNYZ6Xs","https://www.theguardian.com/world/2021/dec/03/italian-man-tries-to-dodge-covid-vaccine-wearing-fake-arm",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/spottedpelican/status/1468122317070864384","<U+0001F489><U+0001F489>Just Some CoverUps Random","Australia","A mixed bag of awesomeness. Aged mature age Law student. At the moment I'm stuck on Covid-19, Aust politics, US politics and random shit. But I'll get bored.",,FALSE,1020,1610,15,33244,78459,2011-05-30 11:52:58,FALSE,,,,"https://pbs.twimg.com/profile_banners/307847195/1506883656","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1729589893/VMq0xR5f_normal"
"x1091857187935264769","x1468121943928942594",2021-12-07 07:35:22,"HealthcareGlob1","How anti-vaccine activists and the GOP are growing closer - NPR https://t.co/7BH8mBruAD via @GoogleNews","Twitter for Android",103,,,,FALSE,FALSE,0,0,,,,,"npr.org/2021/12/06/105…","https://t.co/7BH8mBruAD","https://www.npr.org/2021/12/06/1057344561/anti-vaccine-activists-political-conference-trump-republicans",,,,,,,,,"x33584794","googlenews","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HealthcareGlob1/status/1468121943928942594","Healthcare-Global<U+0001F637>","USA","Global Healthcare venue for tracking & trending<U+23E9>Rx ,recalls, technology, studies, treatments, outbreaks, and more<U+0001F497><U+0001F48A><U+0001F489><U+0001F691>",,FALSE,1563,4884,9,86653,4168,2019-02-03 00:33:34,FALSE,,,,"https://pbs.twimg.com/profile_banners/1091857187935264769/1634170998",,"http://pbs.twimg.com/profile_images/1448445604275818496/PiVJblVj_normal.png"
"x1091857187935264769","x1467949652423200772",2021-12-06 20:10:44,"HealthcareGlob1","What’s Really Behind Global Vaccine Hesitancy - The Atlantic https://t.co/vNBqF4ZBVu via @HealthcareGlob1","Twitter for Android",105,,,,FALSE,FALSE,0,0,,,,,"theatlantic.com/politics/archi…","https://t.co/vNBqF4ZBVu","https://www.theatlantic.com/politics/archive/2021/12/which-countries-have-most-anti-vaxxers/620901/",,,,,,,,,"x1091857187935264769","HealthcareGlob1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HealthcareGlob1/status/1467949652423200772","Healthcare-Global<U+0001F637>","USA","Global Healthcare venue for tracking & trending<U+23E9>Rx ,recalls, technology, studies, treatments, outbreaks, and more<U+0001F497><U+0001F48A><U+0001F489><U+0001F691>",,FALSE,1563,4884,9,86653,4168,2019-02-03 00:33:34,FALSE,,,,"https://pbs.twimg.com/profile_banners/1091857187935264769/1634170998",,"http://pbs.twimg.com/profile_images/1448445604275818496/PiVJblVj_normal.png"
"x77940458","x1468121766056841216",2021-12-07 07:34:40,"AndreasLupus","@mblair @Regan_Smart @longhorncraiger @JonathanTurley And it is literally killing them.

All because they want to lie to themselves that it's about freedom. 

https://t.co/KXfLcJiM8v","Twitter Web App",128,"x1468121336652390403","x77940458","AndreasLupus",FALSE,FALSE,0,0,,,,,"nbcnews.com/news/us-news/m…","https://t.co/KXfLcJiM8v","https://www.nbcnews.com/news/us-news/marcus-lamb-anti-vaccine-christian-broadcaster-dies-covid-battle-rcna7139",,,,,,,,,"x3047151 x2865914359 x466828424 x94784682","mblair Regan_Smart longhorncraiger JonathanTurley","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AndreasLupus/status/1468121766056841216","Andrew Lopez","Texas, USA","Here for the history<U+23F3>, the politics<U+0001F5F3><U+FE0F>, and a laugh<U+0001F989>.",,FALSE,380,517,2,40886,28540,2009-09-28 06:08:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/77940458/1550413022","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/796071027184844800/JWYd9pC__normal.jpg"
"x110016878","x1468121315953369091",2021-12-07 07:32:52,"adirtyhippie","An Angry Mob of Anti-Vaccine Extremists Swarmed a Children’s Toy Store in the West Edmonton Mall https://t.co/A1zy8Ntrb8","Twitter for iPad",120,,,,FALSE,FALSE,0,0,,,,,"pressprogress.ca/an-angry-mob-o…","https://t.co/A1zy8Ntrb8","https://pressprogress.ca/an-angry-mob-of-anti-vaccine-extremists-swarmed-a-childrens-toy-store-in-the-west-edmonton-mall/",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/adirtyhippie/status/1468121315953369091","Dirty Hippie","San Francisco, Ca","Trying 2 delay #Idiocracy, a tweet at a time. Plan 2 walk outside & appreciate being. No permanent friends, no permanent enemies, just permanent interests.","https://t.co/ekbolzIPRB",FALSE,4456,4985,211,62834,11350,2010-01-31 02:09:08,FALSE,"https://t.co/ekbolzIPRB","http://www.adirtyhippie.com",,"https://pbs.twimg.com/profile_banners/110016878/1576544517","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1262316067726036992/gH9NFISH_normal.jpg"
"x20465017","x1468121128308813828",2021-12-07 07:32:08,"aclark3012","Vaccine hesitant man changed his mind over the Covid-19 vaccines when he ended up in hospital, his anti-vax wife lost the battle with the virus #NewsBreak https://t.co/LCwLEmpe0W","Twitter for iPhone",178,,,,FALSE,FALSE,0,0,,,"NewsBreak",,"newsbreak.com/n/0dEBH9Vs?pd=…","https://t.co/LCwLEmpe0W","https://www.newsbreak.com/n/0dEBH9Vs?pd=05G2Y5IA&lang=en_US&s=i2",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/aclark3012/status/1468121128308813828","Aquila","Montgomery, AL","Retired  from the Alabama Department of Public Health -State Healh Lab—State Purchasing..I like to follow Health related issues..",,FALSE,2,68,0,228,672,2009-02-09 20:40:30,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x111539942","x1468121104967294976",2021-12-07 07:32:02,"GabrielaWomenPL","She iterated that the country should focus more on vaccine information drive and community-based COVID preventive strategies than imposing anti-poor and anti-workers policies. 

Junk IATF Resolution 148-B!","Twitter Web App",205,"x1468121102241075212","x111539942","GabrielaWomenPL",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GabrielaWomenPL/status/1468121104967294976","Gabriela Women's Party","","Para sa babae, bata at bayan!",,FALSE,13409,734,75,29612,10690,2010-02-05 08:26:06,FALSE,,,,"https://pbs.twimg.com/profile_banners/111539942/1630208942","http://abs.twimg.com/images/themes/theme17/bg.gif","http://pbs.twimg.com/profile_images/1144057062940266496/BElq6hI4_normal.jpg"
"x783937220122206208","x1468120969315246083",2021-12-07 07:31:30,"Rugbyulster2016","A work college had 3rd jab on Friday evening and spent until 6am Monday sick in bed, High fever. Says she’s not getting anymore and now anti vaccine anti Covid restrictions. Awakening has begun","Twitter for iPhone",193,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Rugbyulster2016/status/1468120969315246083","Mark Anti corruption","Northern Ireland","For Britain in Northern Ireland. we need to save British culture in UK & stop islamisation by corrupt politicians & EU.against Republican agenda in NI",,FALSE,2865,4704,4,78802,131026,2016-10-06 07:49:32,FALSE,,,,"https://pbs.twimg.com/profile_banners/783937220122206208/1534012033",,"http://pbs.twimg.com/profile_images/1028347114517090304/dQo_IMsd_normal.jpg"
"x70669798","x1468120716394520577",2021-12-07 07:30:29,"sarimmy","@officialeeLeoJ @jneill @DrAseemMalhotra Don't pretend you don't know what he is implying. He has been doing this for weeks now - sowing doubt and uncertainty and promoting the anti-vaccine agenda.","Twitter for iPhone",156,"x1468114399483375619","x513306593","officialeeLeoJ",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x513306593 x19019465 x472777204","officialeeLeoJ jneill DrAseemMalhotra","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sarimmy/status/1468120716394520577","sarah h<U+0001F499>","","",,FALSE,58,678,4,10703,12665,2009-09-01 12:43:43,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1431911452/image_normal.jpg"
"x1421343307540701185","x1468120547284324352",2021-12-07 07:29:49,"Sarartist1","@piersmorgan Anti-vaccine stories are often spread online through social media.
They aren't usually based on scientific evidence and put every one at risk of covid19.","Twitter for Android",153,"x1467789230768369665","x216299334","piersmorgan",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x216299334","piersmorgan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Sarartist1/status/1468120547284324352","Sarah","","I <U+2764> painting&patina,teacher,artist
Introducing artists and galleries around the world, No DM.
#galleries
#painting",,FALSE,839,920,6,570,7463,2021-07-31 05:34:04,FALSE,,,,"https://pbs.twimg.com/profile_banners/1421343307540701185/1633589827",,"http://pbs.twimg.com/profile_images/1446006659650891779/lbOaODNU_normal.jpg"
