"screen_name","text"
"spottedpelican","Italian Dentist tries to dodge Covid vaccine wearing a fake arm
Reports state he has been suspended from the Order of Doctors although it was not clear if that was because of his anti vaxx stance on vaccines or attempt to get a Green Pass illegally
https://t.co/7a9eNYZ6Xs"
"HealthcareGlob1","How anti-vaccine activists and the GOP are growing closer - NPR https://t.co/7BH8mBruAD via @GoogleNews"
"HealthcareGlob1","Whatâ€™s Really Behind Global Vaccine Hesitancy - The Atlantic https://t.co/vNBqF4ZBVu via @HealthcareGlob1"
"AndreasLupus","@mblair @Regan_Smart @longhorncraiger @JonathanTurley And it is literally killing them.

All because they want to lie to themselves that it's about freedom. 

https://t.co/KXfLcJiM8v"
"adirtyhippie","An Angry Mob of Anti-Vaccine Extremists Swarmed a Childrenâ€™s Toy Store in the West EdmontonÂ Mall https://t.co/A1zy8Ntrb8"
"aclark3012","Vaccine hesitant man changed his mind over the Covid-19 vaccines when he ended up in hospital, his anti-vax wife lost the battle with the virus #NewsBreak https://t.co/LCwLEmpe0W"
"GabrielaWomenPL","She iterated that the country should focus more on vaccine information drive and community-based COVID preventive strategies than imposing anti-poor and anti-workers policies. 

Junk IATF Resolution 148-B!"
"Rugbyulster2016","A work college had 3rd jab on Friday evening and spent until 6am Monday sick in bed, High fever. Says sheâ€™s not getting anymore and now anti vaccine anti Covid restrictions. Awakening has begun"
"sarimmy","@officialeeLeoJ @jneill @DrAseemMalhotra Don't pretend you don't know what he is implying. He has been doing this for weeks now - sowing doubt and uncertainty and promoting the anti-vaccine agenda."
"Sarartist1","@piersmorgan Anti-vaccine stories are often spread online through social media.
They aren't usually based on scientific evidence and put every one at risk of covid19."
"apimpnamedmimi","ion want to get the vaccine but some of yâ€™all anti vaxxers be sounding crazy on here <U+0001F62D>"
"marie745640","@casey_vand @NelleNelly The donor does too. Not wanting/needing vaccine is not anti-vaccine. Hospitals preferring the patient die instead of risking the rare chance the person might die from Covid is reprehensible."
"0604av","there is a lot of trouble for the anti-rabies vaccine. 
please tell me something that to do further.
@mybmcHealthDept @nhm_up"
"shoe_jimmy1","@JacindaTrump Totally agree. A significant percentage of the anti vaxxers  arenâ€™t actually particularly opposed to the vaccine. They are just predisposed to objecting to instructions"
"randman_0514","Anti-Vaccine Doctor Who Called Mask Wearing 'Dangerous' Dies of COVID-19 https://t.co/1qYtLcIAsX"
"CANUSA34732745","@CNN I am developing a way to give the vaccine via tranquilizer gun. This will allow anti-vaxers plausible non-compliance while still contributing to herd immunity. It's brilliant."
"neilmaccs","@LozzaFox One thing that confuses me about Anti Vaxx, Anti Mask, Anti lockdown people is that they don't seem to have actual solution to the problem..

If you don't wanna wear a mask, don't want the vaccine and don't want to stay home how are you going to stop the virus spreading?"
"JanMasabada","@CyrilRamaphosa Can the president stop this thing of vaccine it is killing our families.
#anti-vaccination"
"happyhexer","@TheSkylineTrail @wsbgnl Exactly.  Even Trump was counting on vaccines to solve everything.  He only became anti-vaccine because they were not ready when he wanted them -- in October before the November 2020 election."
"fereshtehjahan1","@jenbrea Can't agree more! We need to identify the predisposed people to both COVID as well COVID vaccine! We can't ignore those, whose symptoms worsen after infection or environmental stressor! This is a valid concern and has nothing to do with ""Anti-vaccination"" mentality!"
"graceblue","@mrlindan You sound medicated or intoxicated. 
A cat fighting her way out of a paper bag. 
You aren't making sense. 
Do you even know the thread you are commenting on? 
Everyone thinks anti vaxers should pay for their own medical. 
Do you disagree? 
$19.00 vaccine &amp; you can get it for free"
"WaRDaNYo","An Angry Mob of Anti-Vaccine Extremists Swarmed a Childrenâ€™s Toy Store in the West EdmontonÂ Mall (https://t.co/ucNSJD6dBi)"
"HappilyH","Vaccine hesitant man changed his mind over the #Covid19vaccines when he ended up in hospital, his anti-vax wife lost the battle with the virus #NewsBreak #AntiVaxxers  https://t.co/1c4C9Hggth"
"HighlightBias","@merogenomics Your YouTube video is being used by anti-vaxxers. You need to make clear that getting the vaccine is safer than getting COVID. This scientist reviews the paper in detail and explains what you are missing:

https://t.co/R1s6Zrr3cU"
"DrOnDFS","You can thank the anti vaxxers for this rule. Now the people that actually canâ€™t get the vaccine for MEDICAL REASONS will suffer cause the conspiracy theorist <U+0001F595><U+0001F3FC> https://t.co/Uqfk8sf3Uy"
"allys_mchs","Anti-vaccine mandate protestors came to Healdsburg City Hall during a meeting tonight that was later made virtual to avoid the protestors. Protestors held signs outside the building and along the street saying things like ""End Segregation Now"". #mchslang23 https://t.co/1oSX1Aa0c9"
"BetckeTimo","@jill4010 @CardiffW_Green @callumjodwyer Certainly we should not ignore side effects. But given the risk of side effects from vaccines is extremely low (and much lower than that of side effects from COVID) discussions that only focus on vaccine side effects are easily misleading and used for anti-vaxx propaganda."
"centristjim1","@sunrayta @PrisonPlanet The vaccine works perfectly. Thatâ€™s exactly why the vast majority of people in hospital are unvaccinated and you are so quick to try and make your stupid anti vaxx point that you didnâ€™t even realise thatâ€™s what Iâ€™m saying. Vaccines do work. Thatâ€™s exactly why everyone needs one"
"WedsonNyirenda","AGONY IS: 
A woman at Anti natal clinic taking neccessary treatments and hearing her saying "" Me I cant take COVID19 vaccine because these Europeans want to kill us all. """
"gaybunnypup","@joseph24677671 @0dvimes @ruudje1976 @ReutersFacts Do you know how insane it is to believe unproven conspiracy bullshit versus actual facts where billions of people have had their lives saved by the vaccine? Believing imaginary lies and fabricated nonsense like anti-vaxxers is what's insane by far. <U+0001F644><U+0001F921><U+0001F921> https://t.co/YK1DZ1g4c5"
"tPAs4AgCFyrCnj5","Dig one ditch...Dig two<U+0001F60F>
https://t.co/HXbMnsOYZq"
"vankitcher","@CNN Soon another wave will step in then we will be told to take anti retro viral med as final boost. Please come out with concrete decisions. The vaccine is failing letâ€™s look for alternative"
"marcone_charles","@davidshallot @PeterHotez Not like this, don't care about anti vaccine IDIOTS. But you spread and infect and ultimately kill others. The things you mention can be fixed. Idiocy with vaccines are permanent for many."
"MARIUS_DTOWN","How anti-vaccine activists and the GOP are growing closer 

https://t.co/N0XFVH1pia"
"GanniTonya","@AdorablePodcast @PoliticsPot @emsops @PaulStetson13 @JamesBondChick @Krispi_Largo @JGainsbourgh @KingCujo @TheLivingKira @VinceGottalotta @mathmomma24 @JenCages @medwoman1 @Badams820 @EBatterson @ToothAngry @radicalcentrst @mi_sfrom @Traveler3906 @LustfulLiberal @The_Real_BiM @A_Damned_smith @ahrehead @NoScienceDenial @gio56 @JeffreySHarper1 @CentristSloth @_Kel_Varnsen_ @RickySi16087724 @RobfromMO @Darkamedes @HeliaTropist @SteveRo09236504 @SapienWoman @chibistevie1979 @LMegaw @Aimhighffw @1Quetzalcoatl1 @Brian_Alford @chronic_chels @alkivari @QuidRises @Jesus_is_G_d @PickleMrs @Scarlet_lauco @vixmcintyre @pro13A @aquariangoat79 @Omerta_Kittie @heather_leisure No, the anti-vaxxers are the reason the pandemic isnâ€™t over. If they would just vaccine, weâ€™d all be safe."
"JeanBrokenberry","@Joseph4foster @KKnoerr @JudgeClayJ When you are in the hospital on a ventilator it will be too late to change your  mind about the vaccine. There are records of staunch anti vaccine groups that made the Wish on their death beds. Too little too late<U+0001F5A4>"
"MissPenisione","@Maveric55602697 @nzherald Totally agree, we put them into power. I'm not anti or pro-vax but I am anti mandate regarding vaccine passes, that expires in 6 months then another jab to extend it? Not keen on that."
"MelissaWatsonUK","@baheed75 @JoshBoswell @garysmith2301 @mrmarkdolan There's this as well - it's quite clear - vaccines work. 

I've save the Jpeg of the ""Vaccine Paradox"" for future use, very handy, however for some people being anti vaxxer is like joining a cult and nothing will sway them. https://t.co/y0mkjB2LNC"
"lifeafterkey","https://t.co/aNll89kwrT anti vaxx propaganda. 'Crying kids'"
"JackieJHello1","@CAgovernor @GavinNewsom I have had vaccine 1 &amp; 2 &amp; booster. My anti vax neighbor was showing off the fake vaccine card he bought while in Mexico. WTF? @POTUS @PressSec @GavinNewsom @DatelineNBC @maddow @allinwithchris #California 
#COVID19"
"wingnut00555","@CautiousLefty My own anti vax brother had a case of Hep B so bad he was ambulanced 50 miles to another hospital nearly airlifted to another and spent 5 days in a hospital. I asked if you could go back would you get the hep vaccine he said no that's poison."
"TheFrankinn","No Covid vaccine has undergone the usual time frames, Phase I - Phase IV, independent testing protocols, violating the Nuremberg Code of 1947.

No â€˜Novelâ€™ Covid Vaccine has been proven to be Independently Studied &amp;  identified as 1. Safe &amp; 2. Effective. https://t.co/PLBlvd7VfX"
"TheFrankinn","Nuremberg Code Article 6, section 3: 
â€œIn no case should a collective community agreement or the consent of a community leader or other authority substitute for an individualâ€™s informed consent.â€ https://t.co/PLBlvd7VfX"
"DarbyLord","@Caroljo39679012 @SlyingForcer @steve8412 @Gods_Spy And a decrease in hospital admissions, people with severe symptoms. Itâ€™s not difficult to see that a reduction in deaths and severe infections shows the vaccine works - just doesnâ€™t fit the anti vax narrative though does it?"
"sborsch","Anti-vaxxers and @GOP deserve each other. Hereâ€™s hoping Darwin was 100% correct and both will become extinct, the dumbfucks.

https://t.co/p9F9mBksQk"
"0xcase","Update: the algorithm decided that all my feed has to be anti-vaccine and anti-lockdown content from boomer meme pages and far right politicians, surprisingly from Austria and Switzerland, not Germany https://t.co/AQyRJOU1mi"
"tazalot1981","Okay so if I am an anti vaxer for not taking the COVID vaccine. ( one vaccine). Does that make everyone who didnâ€™t take the flu vaccine an anti vaxer. They say they donâ€™t need it or want it. So whatâ€™s the diff."
"tazalot1981","@JamesDeegan1979 @johnsbury66 @Glenn31391040 He didnâ€™t take one vaccine. He is an anti vaxer."
"Longbowgun","@MAGMAUS Block the anti-vaccine morons and send them back to their echo chamber."
"susanadair","@JimiLothian11 @NursepollyRgn And the fact that you are absolutely sure that my kids will die from the covid vaccine is disgusting.the vast difference between pro and anti vaccine stance is that not one single person that is pro vaccine would ever wish death on anyone. Yet the same cannot be said for anti vax"
"noo76_noo","@archer_rs Is there a simular correlation between Brexit voting and anti-vaccine opinions??"
"SunTimesDaily","Omission bias when using VAERS has been used to mislead and misrepresent statistics by anti-vaccine protagonists https://t.co/6dOMVrKeAj"
"Tyla_cw","@GordanaSommer @BreezieLT @PRGuy17 @RealRukshan @OzraeliAvi Also, matter a fact, the body was designed to fight anti bodies like this. Also, more people die of the Flu per year, yet what? Coronavirus is more dangerous when you recover after 14 days of being home? Plus why is the vaccine making new Variants?"
"Tyla_cw","@Evol_451 @I79Asdren @R_Maralia @PRGuy17 Since when? It's always been about Pro Choice, Anti Mandate and Anti-Coercion for this Vaccine."
"semakismymoralc","@SACEMAdirector @rjlessells is this true ? Vaccine hesitancy needs to be fought with facts and a lot of anti vaxxers put up questions they have no interest in answering just to cause doubt. If they were serious about their rights or the lives of others they would do the research https://t.co/mFJMhsZ2TF"
"ClassyKV","Anti vax coworker got her first dose of vaccine last Wednesday to be able to go to a concert on Saturday and then was shocked they didnâ€™t let her in  â€¦ Iâ€™m like girl youâ€™re not fully vaxxed until 2 weeks after your first shot LOL"
"mplspat","The anti-vaccine industry sows doubt and confusion about COVID vaccines. TheÂ Center for Countering Digital Hate reports professional antivax activists met in fall 2020 to create messaging that would decrease acceptance of COVID-19 vaccines once available.
https://t.co/QGuvNjEhST"
"mplspat","The Anti-Vaxx Industry

How Big Tech powers and profits from anti-vaccine misinformation

https://t.co/1SdCnYoSqV"
"mplspat","Anti-vaxxers met in private in late October 2020Â to discuss their plans to disruptÂ theÂ Covid vaccine. They didn't realise CCDH was there too. The Anti-Vaxx Playbook is our new report exposing their tactics, messages and use of social media, and how to stop them."
"zz10274388","So they've changed the meaning of anti vaxer, herd immunity, vaccine, now they should change the meaning of doctor to government employee paid to coerce and spread propaganda."
"hootgibson9","@bennyjohnson I am pro vaccine but I am anti this woman giving it to me!"
"mokeyandabandit","@FChacon_ Spot on! I feel the vaccine is just a precursor, acclimating society- by the time the anti-Christ /mark enter stage leftâ€¦ There will be no pushback except from the elect"
"rhishja","â€œBack on planet Earth, the consequences of Republican anti-mask, anti-vaccine rhetoric are now hitting the Republican base in their homes: Americans living in heavily Republican counties are now several times more likely not just to catch COVID-19, but to die from it.â€ https://t.co/3F6OHuUNuW"
"NiceGoingAdam","@bone_frog Is this an anti vaccine website?"
"djskdjes","@AnnCoulter So many of you are sick, anti-freedom, and anti-constitution.  Children donâ€™t need this vaccine,  it is deadlier to them than â€œCovidâ€. Hitler thought more of children than you do.  Ann shaming people for their knowledge and beliefs.   I thought you were better than that."
